Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Thu,6/24/2010,20:30 (12:30),Denmark dk,1–3,jp Japan,27967,Royal Bafokeng Stadium (Neutral Site),,Match Report,
Group stage,3,Thu,6/24/2010,20:30 (12:30),Cameroon cm,1–2,nl Netherlands,63093,Cape Town Stadium (Neutral Site),,Match Report,
Group stage,3,Fri,6/25/2010,16:00 (08:00),Portugal pt,0–0,br Brazil,62712,Moses Mabhida Stadium (Neutral Site),,Match Report,
Group stage,3,Fri,6/25/2010,16:00 (08:00),Korea DPR kp,0–3,ci Côte d'Ivoire,34763,Mbombela Stadium (Neutral Site),,Match Report,
Group stage,3,Fri,6/25/2010,20:30 (12:30),Chile cl,1–2,es Spain,41958,Loftus Versfeld Stadium (Neutral Site),,Match Report,
Group stage,3,Fri,6/25/2010,20:30 (12:30),Switzerland ch,0–0,hn Honduras,28042,Toyota Stadium (Neutral Site),,Match Report,
,,,,,,,,,,,,
Round of 16,,Sat,6/26/2010,16:00 (08:00),Uruguay uy,2–1,kr Korea Republic,30597,Nelson Mandela Bay Stadium (Neutral Site),,Match Report,
Round of 16,,Sat,6/26/2010,20:30 (12:30),United States us,1–2,gh Ghana,34976,Royal Bafokeng Stadium (Neutral Site),,Match Report,Required Extra Time
Round of 16,,Sun,6/27/2010,16:00 (08:00),Germany de,4–1,eng England,40510,Toyota Stadium (Neutral Site),,Match Report,
Round of 16,,Sun,6/27/2010,20:30 (12:30),Argentina ar,3–1,mx Mexico,84377,Soccer City (Neutral Site),,Match Report,
Round of 16,,Mon,6/28/2010,16:00 (08:00),Netherlands nl,2–1,sk Slovakia,61962,Moses Mabhida Stadium (Neutral Site),,Match Report,
Round of 16,,Mon,6/28/2010,20:30 (12:30),Brazil br,3–0,cl Chile,54096,Emirates Airline Park (Neutral Site),,Match Report,
Round of 16,,Tue,6/29/2010,16:00 (08:00),Paraguay py,(5) 0–0 (3),jp Japan,36742,Loftus Versfeld Stadium (Neutral Site),,Match Report,Paraguay won on penalty kicks following extra time
Round of 16,,Tue,6/29/2010,20:30 (12:30),Spain es,1–0,pt Portugal,62955,Cape Town Stadium (Neutral Site),,Match Report,
Quarter-finals,,Fri,7/2/2010,16:00 (08:00),Netherlands nl,2–1,br Brazil,40186,Nelson Mandela Bay Stadium (Neutral Site),,Match Report,
Quarter-finals,,Fri,7/2/2010,20:30 (12:30),Uruguay uy,(4) 1–1 (2),gh Ghana,84017,Soccer City (Neutral Site),,Match Report,Uruguay won on penalty kicks following extra time
Quarter-finals,,Sat,7/3/2010,16:00 (08:00),Argentina ar,0–4,de Germany,64100,Cape Town Stadium (Neutral Site),,Match Report,
Quarter-finals,,Sat,7/3/2010,20:30 (12:30),Paraguay py,0–1,es Spain,55359,Emirates Airline Park (Neutral Site),,Match Report,
Semi-finals,,Tue,7/6/2010,20:30 (12:30),Uruguay uy,2–3,nl Netherlands,62479,Cape Town Stadium (Neutral Site),,Match Report,
Semi-finals,,Wed,7/7/2010,20:30 (12:30),Germany de,0–1,es Spain,60960,Moses Mabhida Stadium (Neutral Site),,Match Report,
Third-place match,,Sat,7/10/2010,20:30 (12:30),Uruguay uy,2–3,de Germany,36254,Nelson Mandela Bay Stadium (Neutral Site),,Match Report,
Final,,Sun,7/11/2010,20:30 (12:30),Netherlands nl,0–1,es Spain,84490,Soccer City (Neutral Site),Howard Webb,Match Report,Required Extra Time
