Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Loïc Abenzoar,fr FRA,DF,Arles-Avignon,21,1989,12,10,732,8.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d5246edc
2,Vincent Aboubakar,cm CMR,FW,Valenciennes,18,1992,17,4,518,5.8,1,1,2,1,0,0,0,0,0.17,0.17,0.35,0.17,0.35,Matches,8637e09a
3,Fabrice Abriel,fr FRA,MF,Marseille,31,1979,22,4,592,6.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94ae30a8
4,Adeílson,br BRA,FW,Nice,24,1985,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d1b3afca
5,Adriano,br BRA,DF,Monaco,28,1982,32,32,2737,30.4,4,1,5,4,0,0,11,1,0.13,0.03,0.16,0.13,0.16,Matches,e9350581
6,Ali Ahamada,km COM,GK,Toulouse,18,1991,9,8,726,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b64b1e6
7,Karim Aït-Fana,ma MAR,FWMF,Montpellier,21,1989,19,9,990,11.0,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,e4f090b8
8,Kanga Akalé,ci CIV,FWMF,Lens,29,1981,30,21,1792,19.9,3,3,6,3,0,0,2,0,0.15,0.15,0.30,0.15,0.30,Matches,54ef5887
9,Rachid Aliaoui,fr FRA,MF,Arles-Avignon,23,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,599c10fe
10,Paul Alo'o,cm CMR,FW,Nancy,26,1983,8,3,207,2.3,2,0,2,2,0,0,1,0,0.87,0.00,0.87,0.87,0.87,Matches,5b37963b
11,Alejandro Alonso,ar ARG,MF,Saint-Étienne,28,1982,14,11,873,9.7,1,1,2,0,1,1,1,0,0.10,0.10,0.21,0.00,0.10,Matches,52c2dde2
12,Alejandro Alonso,ar ARG,MF,Monaco,28,1982,4,3,229,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,52c2dde2
13,Morgan Amalfitano,fr FRA,MF,Lorient,25,1985,38,38,3414,37.9,5,11,16,4,1,1,10,0,0.13,0.29,0.42,0.11,0.40,Matches,ab914649
14,André,br BRA,FW,Bordeaux,19,1990,8,1,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13b52dec
15,Yoann Andreu,fr FRA,DF,Saint-Étienne,21,1989,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,872cd68c
16,Benjamin Angoua,ci CIV,DF,Valenciennes,23,1986,31,30,2712,30.1,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,de715534
17,Kévin Anin,fr FRA,MF,Sochaux,24,1986,24,23,1868,20.8,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches,9b040de4
18,Youssef El-Arabi,ma MAR,FW,Caen,23,1987,38,36,3263,36.3,17,5,22,16,1,1,4,0,0.47,0.14,0.61,0.44,0.58,Matches,c63f6e46
19,Romain Armand,fr FRA,FWMF,Montpellier,23,1987,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c468a6de
20,Sylvain Armand,fr FRA,DF,Paris S-G,29,1980,33,31,2803,31.1,2,1,3,2,0,0,5,0,0.06,0.03,0.10,0.06,0.10,Matches,cfa036c3
21,Pierre-Emerick Aubameyang,ga GAB,FWMF,Saint-Étienne,21,1989,14,8,776,8.6,2,0,2,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,d5dd5f1f
22,Pierre-Emerick Aubameyang,ga GAB,FWMF,Monaco,21,1989,19,17,1437,16.0,2,2,4,2,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches,d5dd5f1f
23,Fabien Audard,fr FRA,GK,Lorient,32,1978,29,29,2531,28.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,9bb204e5
24,Serge Aurier,ci CIV,DFMF,Lens,17,1992,27,24,2011,22.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5c2b4f07
25,Mathias Autret,fr FRA,MF,Lorient,19,1991,7,0,88,1.0,0,1,1,0,0,0,0,0,0.00,1.02,1.02,0.00,1.02,Matches,7dfbba27
26,Thomas Ayasse,fr FRA,MF,Arles-Avignon,23,1987,23,19,1683,18.7,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,aca9ef32
27,André Ayew,gh GHA,FWMF,Marseille,20,1989,37,32,2786,31.0,10,2,12,10,0,0,6,0,0.32,0.06,0.39,0.32,0.39,Matches,5dbefa9d
28,Jordan Ayew,gh GHA,FWMF,Marseille,18,1991,22,5,743,8.3,2,3,5,2,0,0,3,0,0.24,0.36,0.61,0.24,0.61,Matches,da052c14
29,Floyd Ayité,tg TOG,FWMF,Bordeaux,21,1988,7,0,120,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fd5888a0
30,Jonathan Ayité,tg TOG,FW,Brest,25,1985,14,9,869,9.7,4,2,6,3,1,1,1,0,0.41,0.21,0.62,0.31,0.52,Matches,5e887d66
31,César Azpilicueta,es ESP,DFMF,Marseille,20,1989,15,12,1007,11.2,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,53cad200
32,Maxime Baca,fr FRA,DF,Lorient,27,1983,29,27,2351,26.1,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,3d82351b
33,Mamadou Bagayoko,ml MLI,FW,Nice,31,1979,5,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc579188
