Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Aymen Abdennour,tn TUN,DF,Valencia,26,1989,13,9,879,9.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2f798b41
2,Antonio Adán,es ESP,GK,Betis,29,1987,37,37,3330,37.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,65d62814
3,Aritz Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,2458,27.3,16,1,17,11,5,5,8,1,0.59,0.04,0.62,0.40,0.44,Matches,293211e1
4,Akram Afif,qa QAT,MF,Sporting Gijón,19,1996,9,2,234,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fd53d9e7
5,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,23,1993,8,6,492,5.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,539b773e
6,Javi Álamo,es ESP,FWMF,Osasuna,27,1988,2,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffd69308
7,Jordi Alba,es ESP,DF,Barcelona,27,1989,26,21,1968,21.9,1,6,7,1,0,0,4,0,0.05,0.27,0.32,0.05,0.32,Matches,4601e194
8,Raúl Albentosa,es ESP,DF,La Coruña,27,1988,27,26,2335,25.9,1,1,2,1,0,0,10,1,0.04,0.04,0.08,0.04,0.08,Matches,348e4809
9,Paco Alcácer,es ESP,FW,Barcelona,22,1993,20,6,858,9.5,6,3,9,6,0,0,1,0,0.63,0.31,0.94,0.63,0.94,Matches,a7a9d95a
10,Paco Alcácer,es ESP,FW,Valencia,22,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a7a9d95a
11,Álex Alegría,es ESP,FW,Betis,23,1992,25,15,1438,16.0,3,2,5,3,0,0,2,0,0.19,0.13,0.31,0.19,0.31,Matches,46166b49
12,Carles Aleñá,es ESP,MF,Barcelona,18,1998,3,0,43,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6c811eb7
13,Alexander,ar ARG,MF,Leganés,27,1988,28,24,2031,22.6,8,2,10,7,1,2,1,0,0.35,0.09,0.44,0.31,0.40,Matches,3e1858af
14,Alexis,es ESP,DF,Alavés,30,1985,24,19,1819,20.2,2,1,3,2,0,0,10,1,0.10,0.05,0.15,0.10,0.15,Matches,db0cd1ae
15,Sergio Álvarez,es ESP,MF,Sporting Gijón,24,1992,36,34,3003,33.4,2,1,3,2,0,0,9,0,0.06,0.03,0.09,0.06,0.09,Matches,88d91621
16,Sergio Álvarez,es ESP,GK,Celta Vigo,29,1986,26,26,2340,26.0,0,1,1,0,0,0,0,1,0.00,0.04,0.04,0.00,0.04,Matches,8875b8c9
17,Víctor Álvarez,es ESP,DF,Espanyol,23,1993,4,2,204,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,563f3469
18,Yeray Álvarez,es ESP,DF,Athletic Club,21,1995,26,25,2271,25.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3ecc11d8
19,Diego Alves,br BRA,GK,Valencia,31,1985,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
20,Fernando Amorebieta,ve VEN,DF,Sporting Gijón,31,1985,27,26,2218,24.6,0,1,1,0,0,0,17,0,0.00,0.04,0.04,0.00,0.04,Matches,b2bbc0ec
21,Jon Ander Serantes,es ESP,GK,Leganés,26,1989,13,13,1109,12.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,983ccabe
22,Florin Andone,ro ROU,FW,La Coruña,23,1993,37,32,2893,32.1,12,2,14,12,0,0,6,0,0.37,0.06,0.44,0.37,0.44,Matches,dc008610
23,Victorien Angban,ci CIV,MF,Granada,19,1996,10,8,682,7.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,d8992b84
24,Miguel Ángel Guerrero,es ESP,FW,Leganés,26,1990,31,25,2139,23.8,5,1,6,4,1,1,3,0,0.21,0.04,0.25,0.17,0.21,Matches,b35db3f6
25,José Ángel,es ESP,DF,Villarreal,26,1989,7,7,630,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,3024e383
26,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,32,1984,9,8,770,8.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,011d8c56
27,José Antonio Reyes,es ESP,MFFW,Espanyol,32,1983,21,10,869,9.7,3,4,7,2,1,1,1,0,0.31,0.41,0.72,0.21,0.62,Matches,19058f02
28,Sergio Araujo,ar ARG,FW,Las Palmas,24,1992,11,5,533,5.9,2,1,3,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51,Matches,080ac8d8
29,Anaitz Arbilla,es ESP,DF,Eibar,29,1987,22,17,1574,17.5,0,2,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,850c0a0d
30,Markel Areitio,es ESP,GK,Eibar,19,1996,1,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6d651a5
31,Alejandro Arribas,es ESP,DF,La Coruña,27,1989,23,20,1910,21.2,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,cc29324e
32,Kepa Arrizabalaga,es ESP,GK,Athletic Club,21,1994,23,23,2015,22.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,28d596a0
33,Aythami Artiles,es ESP,DF,Las Palmas,30,1986,11,8,835,9.3,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,01ae64cd
34,Sergio Asenjo,es ESP,GK,Villarreal,27,1989,24,24,2104,23.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f0ea33f
