Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,27,27,2302,25.6,0,2,2,0,0,0,3,0,0.4,0.4,0.7,1.1,17,103,7,0.00,0.08,0.08,0.00,0.08,0.01,0.03,0.04,0.01,0.04,Matches,565bf0da
2,Amir Abrashi,al ALB,MF,Freiburg,27,1990,12,11,850,9.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.7,8,38,18,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,1c08a3c8
3,René Adler,de GER,GK,Mainz 05,32,1985,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,f71890f5
4,Ailton,br BRA,DFMF,Stuttgart,22,1995,5,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,4,3,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,Matches,74ced675
5,Manuel Akanji,ch SUI,DF,Dortmund,22,1995,11,10,904,10.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,15,47,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,89ac64a6
6,Chadrac Akolo,cd COD,MFFW,Stuttgart,22,1995,22,13,1102,12.2,5,0,5,5,0,1,2,0,4.7,4.0,1.0,4.9,27,35,75,0.41,0.00,0.41,0.41,0.41,0.39,0.08,0.47,0.32,0.40,Matches,debc2f28
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,22,17,1690,18.8,0,1,1,0,0,0,1,0,0.2,0.2,1.4,1.6,23,85,8,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09,Matches,6ec6fde0
8,David Alaba,at AUT,DF,Bayern Munich,25,1992,23,17,1551,17.2,2,2,4,2,0,0,1,0,1.3,1.3,2.3,3.5,53,110,178,0.12,0.12,0.23,0.12,0.23,0.07,0.13,0.20,0.07,0.20,Matches,05439de2
9,Lucas Alario,ar ARG,FW,Leverkusen,24,1992,23,17,1550,17.2,9,4,13,8,1,2,4,1,10.5,8.9,1.8,10.8,16,28,111,0.52,0.23,0.75,0.46,0.70,0.61,0.11,0.72,0.52,0.63,Matches,834d0be5
10,Miiko Albornoz,cl CHI,DFMF,Hannover 96,26,1990,10,7,703,7.8,0,0,0,0,0,0,1,0,0.2,0.2,1.4,1.6,10,25,19,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.21,0.02,0.21,Matches,d459281d
11,Thiago Alcántara,es ESP,MFFW,Bayern Munich,26,1991,19,12,1247,13.9,2,2,4,2,0,0,3,0,2.5,2.5,1.9,4.4,30,183,80,0.14,0.14,0.29,0.14,0.29,0.18,0.14,0.32,0.18,0.32,Matches,77e84962
12,Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2930c9d8
13,Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,28,19,1744,19.4,2,3,5,2,0,0,4,0,2.9,2.9,3.4,6.4,51,89,116,0.10,0.15,0.26,0.10,0.26,0.15,0.18,0.33,0.15,0.33,Matches,555d5edd
14,Waldemar Anton,de GER,DFMF,Hannover 96,21,1996,27,26,2278,25.3,1,0,1,1,0,0,1,0,1.8,1.8,0.0,1.8,23,101,14,0.04,0.00,0.04,0.04,0.04,0.07,0.00,0.07,0.07,0.07,Matches,5e66fa06
15,Dennis Aogo,de GER,MFDF,Stuttgart,30,1987,29,22,1954,21.7,0,6,6,0,0,0,5,0,1.3,1.3,2.3,3.6,20,85,75,0.00,0.28,0.28,0.00,0.28,0.06,0.11,0.17,0.06,0.17,Matches,c311243f
16,Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,27,27,2302,25.6,1,3,4,1,0,0,4,0,2.8,2.8,1.3,4.1,26,225,45,0.04,0.12,0.16,0.04,0.16,0.11,0.05,0.16,0.11,0.16,Matches,56413b1f
17,Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,29,28,2454,27.3,2,0,2,2,0,1,9,1,2.3,1.5,2.9,4.4,29,148,44,0.07,0.00,0.07,0.07,0.07,0.08,0.11,0.19,0.05,0.16,Matches,86e119e0
18,Jann-Fiete Arp,de GER,FWMF,Hamburger SV,17,2000,18,8,850,9.4,2,0,2,2,0,0,1,0,1.8,1.8,0.5,2.3,9,5,58,0.21,0.00,0.21,0.21,0.21,0.19,0.05,0.24,0.19,0.24,Matches,c21fb312
19,Takuma Asano,jp JPN,FWMF,Stuttgart,22,1994,15,7,721,8.0,1,0,1,1,0,0,1,0,1.7,1.7,1.1,2.8,24,17,56,0.12,0.00,0.12,0.12,0.12,0.21,0.13,0.35,0.21,0.35,Matches,13ddc856
20,Santiago Ascacíbar,ar ARG,MF,Stuttgart,20,1997,29,27,2381,26.5,0,1,1,0,0,0,11,1,0.4,0.4,0.7,1.1,17,92,29,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.04,0.01,0.04,Matches,e26fcca3
21,Simon Asta,de GER,MF,Augsburg,16,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,dfc85b89
22,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,28,1989,16,16,1416,15.7,13,3,16,10,3,4,1,1,16.2,13.0,2.3,15.3,30,26,112,0.83,0.19,1.02,0.64,0.83,1.03,0.15,1.18,0.83,0.98,Matches,d5dd5f1f
23,Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,20,1997,25,14,1266,14.1,9,5,14,8,1,2,1,0,7.1,5.5,1.9,7.4,31,15,137,0.64,0.36,1.00,0.57,0.92,0.51,0.13,0.64,0.39,0.53,Matches,97bfa797
24,Ludwig Augustinsson,se SWE,DFFW,Werder Bremen,23,1994,29,29,2532,28.1,1,1,2,1,0,0,3,0,1.2,1.2,2.1,3.4,48,103,151,0.04,0.04,0.07,0.04,0.07,0.04,0.07,0.12,0.04,0.12,Matches,9fec8860
25,Yann Aurel Bisseck,de GER,DFMF,Köln,16,2000,3,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3963c25b
26,Holger Badstuber,de GER,DFMF,Stuttgart,28,1989,27,24,2173,24.1,2,0,2,2,0,0,2,0,1.2,1.2,0.1,1.3,12,47,1,0.08,0.00,0.08,0.08,0.08,0.05,0.00,0.05,0.05,0.05,Matches,45b7edae
27,Daniel Baier,de GER,MF,Augsburg,33,1984,29,29,2538,28.2,0,2,2,0,0,0,6,0,0.9,0.9,1.9,2.7,33,197,29,0.00,0.07,0.07,0.00,0.07,0.03,0.07,0.10,0.03,0.10,Matches,f261abcb
28,Leon Bailey,jm JAM,FWDF,Leverkusen,19,1997,30,25,2215,24.6,9,6,15,9,0,0,2,0,8.0,8.0,6.7,14.7,111,84,261,0.37,0.24,0.61,0.37,0.61,0.33,0.27,0.60,0.33,0.60,Matches,3a233281
29,Marvin Bakalorz,de GER,MF,Hannover 96,27,1989,28,23,2055,22.8,0,1,1,0,0,0,4,0,1.7,1.7,2.1,3.9,21,72,62,0.00,0.04,0.04,0.00,0.04,0.08,0.09,0.17,0.08,0.17,Matches,04c11885
30,Ridle Baku,de GER,MF,Mainz 05,19,1998,3,3,233,2.6,2,0,2,2,0,0,1,0,0.9,0.9,0.1,1.0,7,6,7,0.77,0.00,0.77,0.77,0.77,0.33,0.05,0.38,0.33,0.38,Matches,442b56fa
31,Leon Balogun,ng NGA,DF,Mainz 05,29,1988,14,14,1173,13.0,0,0,0,0,0,0,5,1,0.1,0.1,0.0,0.1,4,24,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,78e68b4d
32,Philipp Bargfrede,de GER,MF,Werder Bremen,28,1989,27,23,1859,20.7,1,1,2,1,0,0,5,0,0.6,0.6,0.8,1.4,17,110,9,0.05,0.05,0.10,0.05,0.10,0.03,0.04,0.07,0.03,0.07,Matches,3f7cd8f1
33,Aymen Barkok,ma MAR,FWMF,Eint Frankfurt,19,1998,9,2,314,3.5,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,3,9,19,0.00,0.29,0.29,0.00,0.29,0.03,0.13,0.16,0.03,0.16,Matches,a2a85828
34,Fin Bartels,de GER,FW,Werder Bremen,30,1987,14,14,1121,12.5,2,3,5,2,0,0,0,0,2.1,2.1,3.3,5.4,33,42,121,0.16,0.24,0.40,0.16,0.40,0.17,0.27,0.44,0.17,0.44,Matches,acc7b7ec
35,Marc Bartra,es ESP,DF,Dortmund,26,1991,12,9,807,9.0,2,1,3,2,0,0,1,0,0.2,0.2,1.2,1.4,14,60,7,0.22,0.11,0.33,0.22,0.33,0.02,0.14,0.16,0.02,0.16,Matches,b742cc0d
36,Michy Batshuayi,be BEL,FW,Dortmund,23,1993,10,9,839,9.3,7,1,8,7,0,0,2,0,7.3,7.3,0.3,7.5,5,18,50,0.75,0.11,0.86,0.75,0.86,0.78,0.03,0.81,0.78,0.81,Matches,2973d8ff
37,Robert Bauer,de GER,DFFW,Werder Bremen,22,1995,16,12,956,10.6,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,13,39,12,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,9b88e120
38,Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,47064058
39,Timo Baumgartl,de GER,DF,Stuttgart,21,1996,29,29,2610,29.0,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,7,79,12,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,bd7d2e6d
40,Julian Baumgartlinger,at AUT,MFDF,Leverkusen,29,1988,22,17,1393,15.5,1,0,1,1,0,0,3,0,1.2,1.2,0.7,1.9,15,72,25,0.06,0.00,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12,Matches,69374ff5
41,Noah Joel Sarenren Bazee,ng NGA,FWMF,Hannover 96,20,1996,7,0,118,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,4,15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fbbc8e15
42,Riechedly Bazoer,nl NED,MF,Wolfsburg,20,1996,13,6,592,6.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,6,13,14,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches,da59a197
43,Ihlas Bebou,tg TOG,MFFW,Hannover 96,23,1994,30,20,2140,23.8,5,2,7,5,0,0,3,0,5.2,5.2,5.5,10.7,75,86,180,0.21,0.08,0.29,0.21,0.29,0.22,0.23,0.45,0.22,0.45,Matches,a53b661f
44,Andreas Beck,de GER,DF,Stuttgart,30,1987,23,22,1927,21.4,1,1,2,1,0,0,5,0,0.3,0.3,1.5,1.8,27,77,76,0.05,0.05,0.09,0.05,0.09,0.01,0.07,0.08,0.01,0.08,Matches,00a6485f
