Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Mohammed Abdellaoue,no NOR,FW,Hannover 96,26,1985,26,12,1036,11.5,8,1,9,6,2,2,1,0,0.69,0.09,0.78,0.52,0.61,Matches,7b068bd2
2,David Abraham,ar ARG,DF,Hoffenheim,26,1986,12,12,1023,11.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,565bf0da
3,René Adler,de GER,GK,Hamburger SV,27,1985,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f71890f5
4,Luis Advíncula,pe PER,DFMF,Hoffenheim,22,1990,2,1,75,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cacadf4f
5,Ibrahim Afellay,nl NED,FWMF,Schalke 04,26,1986,10,8,624,6.9,2,0,2,2,0,0,2,0,0.29,0.00,0.29,0.29,0.29,Matches,9a8c6673
6,Stefan Aigner,de GER,FWMF,Eint Frankfurt,24,1987,34,34,2810,31.2,9,7,16,9,0,0,3,0,0.29,0.22,0.51,0.29,0.51,Matches,17cc3f63
7,Joseph Akpala,ng NGA,FW,Werder Bremen,25,1986,21,3,464,5.2,1,1,2,1,0,0,1,0,0.19,0.19,0.39,0.19,0.39,Matches,a1737fe0
8,David Alaba,at AUT,DFMF,Bayern Munich,20,1992,23,22,1993,22.1,3,3,6,1,2,3,0,0,0.14,0.14,0.27,0.05,0.18,Matches,05439de2
9,Tim Albutat,de GER,MF,Freiburg,19,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d1dcf180
10,Felipe Aliste Lopes,br BRA,DF,Wolfsburg,24,1987,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffc33b67
11,Felipe Aliste Lopes,br BRA,DF,Stuttgart,24,1987,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ffc33b67
12,Robert Almer,at AUT,GK,Düsseldorf,28,1984,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6dcb6839
13,Mohamed Amsif,ma MAR,GK,Augsburg,23,1989,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c3f2927
14,Leon Andreasen,dk DEN,DFMF,Hannover 96,29,1983,5,4,260,2.9,2,0,2,2,0,0,1,0,0.69,0.00,0.69,0.69,0.69,Matches,8a000de5
15,Marcos Antônio,br BRA,DF,Nürnberg,29,1983,1,1,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,043ad077
16,Dennis Aogo,de GER,DFMF,Hamburger SV,25,1987,27,22,1956,21.7,2,4,6,2,0,0,2,0,0.09,0.18,0.28,0.09,0.28,Matches,c311243f
17,Juan Arango,ve VEN,MF,M'Gladbach,32,1980,31,31,2720,30.2,5,5,10,5,0,0,2,0,0.17,0.17,0.33,0.17,0.33,Matches,49c057c9
18,Marko Arnautovi?,at AUT,FWMF,Werder Bremen,23,1989,26,21,1954,21.7,5,6,11,5,0,0,9,1,0.23,0.28,0.51,0.23,0.51,Matches,00459419
19,Maximilian Arnold,de GER,MF,Wolfsburg,18,1994,6,5,401,4.5,3,0,3,3,0,0,1,0,0.67,0.00,0.67,0.67,0.67,Matches,86e119e0
20,Tolgay Arslan,de GER,MF,Hamburger SV,21,1990,25,19,1658,18.4,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,963a328b
21,Gerald Asamoah,de GER,FWMF,Greuther Fürth,33,1978,17,12,1002,11.1,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,2ce9172f
22,Renato Augusto,br BRA,MF,Leverkusen,24,1988,6,0,97,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,83a6367a
23,Okan Ayd?n,tr TUR,FWMF,Leverkusen,18,1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5d52c56b
24,Ilir Azemi,xk KVX,FW,Greuther Fürth,20,1992,20,3,625,6.9,1,1,2,1,0,0,3,0,0.14,0.14,0.29,0.14,0.29,Matches,17897319
25,Milan Badelj,hr CRO,MF,Hamburger SV,23,1989,31,30,2498,27.8,1,5,6,0,1,1,8,0,0.04,0.18,0.22,0.00,0.18,Matches,e8c930bb
26,Holger Badstuber,de GER,DF,Bayern Munich,23,1989,12,12,981,10.9,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,45b7edae
27,Mamadou Bah,gn GUI,MF,Stuttgart,24,1988,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c4248e7f
28,Daniel Baier,de GER,MF,Augsburg,28,1984,33,33,2948,32.8,2,1,3,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09,Matches,f261abcb
29,Bálint Bajner,hu HUN,FW,Dortmund,21,1990,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a676b68c
30,Hanno Balitsch,de GER,MF,Nürnberg,31,1981,33,31,2769,30.8,1,2,3,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,Matches,2b48fa93
31,Leon Balogun,ng NGA,DF,Düsseldorf,24,1988,17,16,1428,15.9,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,78e68b4d
32,Anderson Bamba,br BRA,DF,Eint Frankfurt,24,1988,28,28,2490,27.7,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,b85d1f36
33,Aristide Bancé,bf BFA,FW,Augsburg,27,1984,18,4,633,7.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,93b19d06
