Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Damià Abella,es ESP,DFMF,Osasuna,29,1982,30,24,2255,25.1,0,0,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,Matches,e35b4a15
2,Éric Abidal,fr FRA,DF,Barcelona,31,1979,22,20,1762,19.6,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,016828bd
3,Lautaro Acosta,ar ARG,FWMF,Racing Sant,23,1988,21,14,1259,14.0,2,0,2,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches,2a3af4d5
4,Antonio Adán,es ESP,GK,Real Madrid,24,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,65d62814
5,Adriano,br BRA,DFMF,Barcelona,26,1984,26,20,1722,19.1,1,4,5,1,0,0,3,0,0.05,0.21,0.26,0.05,0.26,Matches,9d8586c4
6,Aritz Aduriz,es ESP,FW,Valencia,30,1981,29,11,1302,14.5,7,1,8,7,0,0,5,1,0.48,0.07,0.55,0.48,0.55,Matches,293211e1
7,Ibrahim Afellay,nl NED,FWMF,Barcelona,25,1986,4,1,116,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a8c6673
8,Imanol Agirretxe,es ESP,FW,Real Sociedad,24,1987,36,27,2183,24.3,10,3,13,10,0,0,1,0,0.41,0.12,0.54,0.41,0.54,Matches,c84c1afc
9,Jordi Alba,es ESP,DFMF,Valencia,22,1989,32,27,2543,28.3,2,5,7,2,0,0,13,1,0.07,0.18,0.25,0.07,0.25,Matches,4601e194
10,David Albelda,es ESP,DFMF,Valencia,33,1977,21,19,1586,17.6,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches,def14f68
11,Luis Alberto,es ESP,FWMF,Sevilla,18,1992,5,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5294a83f
12,Raúl Albiol,es ESP,DF,Real Madrid,25,1985,10,5,621,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4bd414c1
13,Paco Alcácer,es ESP,FW,Valencia,17,1993,3,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a7a9d95a
14,Thiago Alcántara,es ESP,MF,Barcelona,20,1991,27,20,1825,20.3,2,2,4,2,0,0,3,1,0.10,0.10,0.20,0.10,0.20,Matches,77e84962
15,Alexis,es ESP,DF,Getafe,25,1985,12,11,992,11.0,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,db0cd1ae
16,Alexis,es ESP,DF,Sevilla,25,1985,1,1,90,1.0,1,0,1,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches,db0cd1ae
17,Alejandro Alfaro,es ESP,FWMF,Mallorca,24,1986,29,13,1252,13.9,2,1,3,2,0,0,2,0,0.14,0.07,0.22,0.14,0.22,Matches,7c293728
18,Christian Alfonso,es ESP,MF,Espanyol,22,1989,5,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ecfe11fd
19,Henrique Almeida,br BRA,FW,Granada,20,1991,6,1,214,2.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,8aa2f2e3
20,Xabi Alonso,es ESP,MF,Real Madrid,29,1981,36,35,3138,34.9,1,5,6,1,0,0,13,0,0.03,0.14,0.17,0.03,0.17,Matches,dc001a06
21,Hamit Alt?ntop,tr TUR,DFMF,Real Madrid,28,1982,5,1,164,1.8,1,0,1,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches,98e33da5
22,Cristian Álvarez,ar ARG,GK,Espanyol,25,1985,23,23,2059,22.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,87e89eb4
23,Pablo Álvarez,ar ARG,DF,Zaragoza,27,1984,15,15,1281,14.2,0,1,1,0,0,0,6,1,0.00,0.07,0.07,0.00,0.07,Matches,1226cc4f
24,Sergio Álvarez,es ESP,DFMF,Sporting Gijón,19,1992,6,4,325,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,88d91621
25,Dani Alves,br BRA,DFMF,Barcelona,28,1983,33,29,2674,29.7,2,9,11,2,0,0,8,2,0.07,0.30,0.37,0.07,0.37,Matches,c9e99e49
26,Diego Alves,br BRA,GK,Valencia,26,1985,12,12,1080,12.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
27,Luis Amaranto Perea,co COL,DF,Atlético Madrid,32,1979,19,11,1107,12.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,ff1988a5
28,Jordi Amat,id IDN,DF,Espanyol,19,1992,9,7,638,7.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,d70a2141
29,Antonio Amaya,es ESP,DF,Betis,28,1983,12,9,941,10.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,cfe5ba41
30,Fernando Amorebieta,ve VEN,DF,Athletic Club,26,1985,28,27,2330,25.9,3,0,3,3,0,0,11,2,0.12,0.00,0.12,0.12,0.12,Matches,b2bbc0ec
31,Juan Ángel Albín,uy URU,FWMF,Espanyol,25,1986,6,2,166,1.8,1,0,1,1,0,0,1,0,0.54,0.00,0.54,0.54,0.54,Matches,6be43cc9
32,Miguel Ángel Moyá,es ESP,GK,Getafe,27,1984,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,011d8c56
33,Xavi Annunziata,es ESP,FWMF,Osasuna,23,1987,6,2,148,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e146dbda
