Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Damià Abella,es ESP,DFMF,Osasuna,31,1982,34,32,2821,31.3,0,1,1,0,0,0,10,1,0.00,0.03,0.03,0.00,0.03,Matches,e35b4a15
2,Javier Acuña,py PAR,FW,Osasuna,25,1988,16,3,549,6.1,3,0,3,3,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches,993ff7aa
3,Antonio Adán,es ESP,GK,Betis,26,1987,17,17,1522,16.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,65d62814
4,Issam El Adoua,ma MAR,DF,Levante,26,1986,18,9,1017,11.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,16edc522
5,Adriano,br BRA,DFMF,Barcelona,28,1984,26,24,2071,23.0,3,1,4,3,0,0,8,0,0.13,0.04,0.17,0.13,0.17,Matches,9d8586c4
6,Aritz Aduriz,es ESP,FW,Athletic Club,32,1981,31,26,2392,26.6,16,8,24,14,2,3,7,2,0.60,0.30,0.90,0.53,0.83,Matches,293211e1
7,Ibrahim Afellay,nl NED,FWMF,Barcelona,27,1986,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a8c6673
8,Imanol Agirretxe,es ESP,FW,Real Sociedad,26,1987,31,21,1942,21.6,8,1,9,8,0,0,1,0,0.37,0.05,0.42,0.37,0.42,Matches,c84c1afc
9,Jordi Alba,es ESP,DFMF,Barcelona,24,1989,15,14,1240,13.8,0,2,2,0,0,0,6,1,0.00,0.15,0.15,0.00,0.15,Matches,4601e194
10,Edu Albácar,es ESP,DF,Elche,33,1979,18,18,1586,17.6,3,1,4,0,3,3,4,0,0.17,0.06,0.23,0.00,0.06,Matches,fc8a84b8
11,Unai Albizua,es ESP,DF,Athletic Club,24,1989,4,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a2e58a3
12,Paco Alcácer,es ESP,FW,Valencia,19,1993,23,17,1531,17.0,6,2,8,6,0,0,5,0,0.35,0.12,0.47,0.35,0.47,Matches,a7a9d95a
13,Toby Alderweireld,be BEL,DF,Atlético Madrid,24,1989,12,10,909,10.1,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,f7d50789
14,Alexis,es ESP,DF,Getafe,27,1985,29,27,2491,27.7,0,0,0,0,0,0,15,1,0.00,0.00,0.00,0.00,0.00,Matches,db0cd1ae
15,Xabi Alonso,es ESP,MF,Real Madrid,31,1981,26,23,2021,22.5,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,dc001a06
16,Sergio Álvarez,es ESP,GK,Celta Vigo,26,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8875b8c9
17,Víctor Álvarez,es ESP,DFMF,Espanyol,20,1993,7,5,300,3.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,563f3469
18,Dani Alves,br BRA,DFMF,Barcelona,30,1983,27,26,2385,26.5,2,3,5,2,0,0,6,0,0.08,0.11,0.19,0.08,0.19,Matches,c9e99e49
19,Diego Alves,br BRA,GK,Valencia,28,1985,27,27,2280,25.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
20,Antonio Amaya,es ESP,DF,Betis,30,1983,24,22,2027,22.5,1,1,2,1,0,0,10,1,0.04,0.04,0.09,0.04,0.09,Matches,cfe5ba41
21,Nordin Amrabat,ma MAR,FWMF,Málaga,26,1987,15,15,1305,14.5,2,5,7,1,1,1,1,1,0.14,0.34,0.48,0.07,0.41,Matches,7c2a398c
22,Stephan Andersen,dk DEN,GK,Betis,31,1981,7,6,585,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,314c2af0
23,Bobley Anderson,ci CIV,MF,Málaga,21,1992,8,1,255,2.8,0,1,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches,f691678c
24,José Ángel,es ESP,DF,Real Sociedad,23,1989,22,22,1906,21.2,1,5,6,1,0,0,5,0,0.05,0.24,0.28,0.05,0.28,Matches,3024e383
25,Miguel Ángel Moyá,es ESP,GK,Getafe,29,1984,26,26,2307,25.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,011d8c56
26,Joan Àngel Román,es ESP,FWMF,Villarreal,20,1993,2,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,150a54c2
27,Marcos Angeleri,ar ARG,DF,Málaga,30,1983,26,25,2221,24.7,0,1,1,0,0,0,9,2,0.00,0.04,0.04,0.00,0.04,Matches,f1c9c320
28,Brayan Angulo,co COL,DFMF,Granada,23,1989,34,33,2938,32.6,0,2,2,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,af31b77b
29,Ion Ansotegi,es ESP,DF,Real Sociedad,31,1982,24,18,1790,19.9,2,0,2,2,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,72b26e8e
30,José Antonio Caro,es ESP,DF,Betis,20,1993,4,1,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02e4da70
31,José Antonio Reyes,es ESP,MF,Sevilla,29,1983,21,15,1174,13.0,0,6,6,0,0,0,5,0,0.00,0.46,0.46,0.00,0.46,Matches,19058f02
32,Vitorino Antunes,pt POR,DF,Málaga,26,1987,36,36,3179,35.3,0,0,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,Matches,3e4f735d
33,Javier Aquino,mx MEX,DFFW,Villarreal,23,1990,32,18,1848,20.5,1,5,6,1,0,0,2,0,0.05,0.24,0.29,0.05,0.29,Matches,215104cc
34,Youssef El-Arabi,ma MAR,FW,Granada,26,1987,36,34,2769,30.8,12,2,14,11,1,2,5,0,0.39,0.07,0.46,0.36,0.42,Matches,c63f6e46
