Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Kassim Abdallah,km COM,DF,Evian,27,1987,30,29,2581,28.7,0,3,3,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,Matches,6ae490cc
2,Aymen Abdennour,tn TUN,DF,Monaco,24,1989,18,17,1525,16.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,2f798b41
3,Rafidine Abdullah,km COM,MF,Lorient,20,1994,23,18,1522,16.9,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,4d9ee090
4,Vincent Aboubakar,cm CMR,FW,Lorient,22,1992,2,2,180,2.0,1,0,1,0,1,1,1,0,0.50,0.00,0.50,0.00,0.00,Matches,8637e09a
5,Karim Achahbar,ma MAR,FW,Guingamp,18,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,24cedcb1
6,Jordan Adéoti,bj BEN,DFMF,Caen,25,1989,28,18,1746,19.4,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,508c8f3e
7,Kossi Agassa,tg TOG,GK,Reims,36,1978,17,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,14a03f68
8,Abel Aguilar,co COL,MF,Toulouse,29,1985,21,18,1663,18.5,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,6936b41b
9,Ali Ahamada,km COM,GK,Toulouse,22,1991,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0b64b1e6
10,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,21,1992,32,25,2415,26.8,2,3,5,2,0,0,5,0,0.07,0.11,0.19,0.07,0.19,Matches,fdf4b948
11,Mads Albæk,dk DEN,MF,Reims,24,1990,12,8,646,7.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,06aa77a6
12,Romain Alessandrini,fr FRA,FWMF,Marseille,25,1989,26,13,1264,14.0,3,4,7,3,0,0,1,0,0.21,0.28,0.50,0.21,0.50,Matches,7a7610d2
13,Chaker Alhadhur,km COM,DFMF,Nantes,22,1991,15,12,1103,12.3,0,0,0,0,0,1,3,1,0.00,0.00,0.00,0.00,0.00,Matches,0cb40f7a
14,Rachid Alioui,ma MAR,FW,Guingamp,22,1992,7,2,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bdedd861
15,Baptiste Aloé,fr FRA,DF,Marseille,20,1994,14,4,461,5.1,1,0,1,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,dd83724a
16,Jordan Amavi,fr FRA,DF,Nice,20,1994,36,36,3232,35.9,4,0,4,4,0,0,11,0,0.11,0.00,0.11,0.11,0.11,Matches,22721b88
17,Gaël Andonian,am ARM,DF,Marseille,19,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fbce150e
18,Federico Andrada,ar ARG,FW,Metz,20,1994,12,2,292,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c997824a
19,Benjamin André,fr FRA,DFMF,Rennes,23,1990,22,16,1362,15.1,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,ef9c1c95
20,Benjamin Angoua,ci CIV,DF,Guingamp,27,1986,21,16,1539,17.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,de715534
21,Aldo Angoula,fr FRA,DF,Evian,33,1981,8,7,587,6.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,301a013a
22,Dennis Appiah,fr FRA,DFMF,Caen,22,1992,30,29,2571,28.6,0,2,2,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches,feb5d3ab
23,Alphonse Areola,fr FRA,GK,Bastia,21,1993,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
24,Fernando Aristeguieta,ve VEN,FW,Nantes,22,1992,6,2,171,1.9,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,0c403511
25,Sylvain Armand,fr FRA,DF,Rennes,33,1980,36,36,3240,36.0,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,cfa036c3
26,Eliran Atar,il ISR,FW,Reims,27,1987,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9deab2db
27,Samuel Atrous,fr FRA,GK,Lens,24,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ab9ce40
28,Fabien Audard,fr FRA,GK,Lorient,36,1978,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9bb204e5
29,Johan Audel,mq MTQ,FWMF,Nantes,30,1983,24,14,1263,14.0,3,1,4,3,0,0,0,0,0.21,0.07,0.29,0.21,0.29,Matches,216f70c6
30,Serge Aurier,ci CIV,DFMF,Paris S-G,21,1992,14,12,1136,12.6,0,5,5,0,0,0,2,0,0.00,0.40,0.40,0.00,0.40,Matches,5c2b4f07
31,Mathias Autret,fr FRA,MF,Lorient,23,1991,7,3,283,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches,7dfbba27
32,André Ayew,gh GHA,FWMF,Marseille,24,1989,28,27,2387,26.5,10,3,13,10,0,0,7,1,0.38,0.11,0.49,0.38,0.49,Matches,5dbefa9d
33,Jordan Ayew,gh GHA,FWMF,Lorient,22,1991,31,29,2613,29.0,12,5,17,9,3,3,8,0,0.41,0.17,0.59,0.31,0.48,Matches,da052c14
34,Floyd Ayité,tg TOG,FWMF,Bastia,25,1988,30,26,2330,25.9,6,2,8,6,0,0,3,0,0.23,0.08,0.31,0.23,0.31,Matches,fd5888a0
