Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Ignazio Abate,it ITA,DFMF,Milan,23,1986,29,26,2412,26.8,0,1,1,0,0,0,2,1,0.00,0.04,0.04,0.00,0.04,Matches,1c529186
2,Christian Abbiati,it ITA,GK,Milan,33,1977,35,35,3078,34.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,322421c2
3,Almen Abdi,ch SUI,MF,Udinese,23,1986,19,6,634,7.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,8d425d84
4,Pietro Accardi,it ITA,DF,Brescia,27,1982,8,6,586,6.5,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,f858882a
5,Pietro Accardi,it ITA,DF,Sampdoria,27,1982,9,4,528,5.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,f858882a
6,Robert Acquafresca,it ITA,FW,Cagliari,22,1987,37,27,2289,25.4,8,1,9,8,0,1,1,0,0.31,0.04,0.35,0.31,0.35,Matches,d2b115ae
7,Afriyie Acquah,gh GHA,MF,Palermo,18,1992,11,3,434,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d7403bd5
8,Adriano,br BRA,FW,Roma,28,1982,5,2,241,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ec73d8a
9,Michael Agazzi,it ITA,GK,Cagliari,26,1984,38,38,3383,37.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0eda0ab8
10,Alessandro Agostini,it ITA,DF,Cagliari,31,1979,34,34,2947,32.7,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,9549f66d
11,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,19,1990,8,2,206,2.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fe0b8f0e
12,Denis Alibec,ro ROU,FW,Inter,19,1991,2,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a1474d8e
13,Sergio Almirón,ar ARG,MF,Bari,29,1980,25,21,1837,20.4,0,2,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,ce05fadf
14,Édgar Álvarez,hn HON,DFMF,Bari,30,1980,29,18,1885,20.9,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,41d086b6
15,Pablo Álvarez,ar ARG,DF,Catania,26,1984,23,20,1739,19.3,0,0,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,Matches,1226cc4f
16,Amauri,it ITA,FW,Juventus,30,1980,9,5,492,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6d4bf9d
17,Amauri,it ITA,FW,Parma,30,1980,11,11,916,10.2,7,2,9,7,0,0,2,0,0.69,0.20,0.88,0.69,0.88,Matches,b6d4bf9d
18,Massimo Ambrosini,it ITA,MF,Milan,33,1977,18,16,1382,15.4,1,2,3,1,0,0,5,0,0.07,0.13,0.20,0.07,0.20,Matches,26b20735
19,Marco Amelia,it ITA,GK,Milan,28,1982,4,3,336,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54da8e59
20,Marco Andreolli,it ITA,DF,Chievo,24,1986,28,27,2345,26.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,13d820de
21,Mariano Andújar,ar ARG,GK,Catania,27,1983,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,609cd867
22,Gabriele Angella,it ITA,DF,Udinese,21,1989,8,1,232,2.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,0c971997
23,Ângelo,br BRA,DFMF,Parma,29,1981,21,10,1013,11.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,376fa7e6
24,Mirco Antenucci,it ITA,FW,Catania,25,1984,14,2,408,4.5,1,0,1,0,1,1,0,0,0.22,0.00,0.22,0.00,0.00,Matches,43a2e16c
25,Luca Antonelli,it ITA,DFMF,Genoa,23,1987,11,5,607,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,40f0ed6c
26,Luca Antonelli,it ITA,DFMF,Parma,23,1987,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,40f0ed6c
27,Luca Antonini,it ITA,DFMF,Milan,27,1982,22,18,1623,18.0,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,09952eb7
28,Francesco Antonioli,it ITA,GK,Cesena,40,1969,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0fa7ec78
29,Siniša An?elkovi?,si SVN,DF,Palermo,24,1986,7,7,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f978a28b
30,Stephen Appiah,gh GHA,MF,Cesena,29,1980,14,13,1013,11.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,c4fb13cc
31,Alberto Aquilani,it ITA,MF,Juventus,26,1984,33,31,2657,29.5,2,5,7,2,0,0,3,0,0.07,0.17,0.24,0.07,0.24,Matches,ad340e17
32,Michele Arcari,it ITA,GK,Brescia,32,1978,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,89f815dc
33,Lorenzo Ariaudo,it ITA,DF,Cagliari,21,1989,15,9,982,10.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,68b78c2a
34,Pablo Armero,co COL,DFMF,Udinese,23,1986,31,29,2569,28.5,2,5,7,2,0,0,4,0,0.07,0.18,0.25,0.07,0.25,Matches,afabf74e
