Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Yunis Abdelhamid,ma MAR,DF,Dijon,28,1987,18,15,1314,14.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,32c2d95f
2,Mehdi Abeid,dz ALG,MF,Dijon,23,1992,28,27,2374,26.4,3,2,5,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches,a4c3f7af
3,Geoffrey Acheampong,gh GHA,MF,Bastia,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,57934e69
4,Jordan Adéoti,bj BEN,DF,Caen,27,1989,27,23,2120,23.6,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,508c8f3e
5,Youssef Aït Bennasser,ma MAR,MF,Nancy,20,1996,26,23,1930,21.4,3,1,4,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches,c46fa34c
6,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,23,1992,2,0,73,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf4b948
7,Alexis Alegue,fr FRA,FW,Nantes,19,1996,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f4c0bad
8,Romain Alessandrini,fr FRA,FWMF,Marseille,27,1989,6,3,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7a7610d2
9,Jérémie Aliadière,fr FRA,FW,Lorient,33,1983,13,6,487,5.4,1,2,3,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches,68ef3d96
10,Júnior Alonso,py PAR,DF,Lille,23,1993,12,10,959,10.7,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,b18a3023
11,Ibrahim Amadou,fr FRA,MF,Lille,23,1993,35,34,2952,32.8,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,9260926b
12,Morgan Amalfitano,fr FRA,MF,Rennes,31,1985,6,6,401,4.5,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches,ab914649
13,Morgan Amalfitano,fr FRA,MFFW,Lille,31,1985,17,8,733,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab914649
14,Romain Amalfitano,fr FRA,MF,Dijon,26,1989,26,15,1418,15.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d7bf3d19
15,Kelvin Amian,fr FRA,DF,Toulouse,18,1998,22,20,1776,19.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bcc81786
16,Benjamin André,fr FRA,MF,Rennes,25,1990,36,36,3215,35.7,0,3,3,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,ef9c1c95
17,Yoann Andreu,fr FRA,DF,Angers,27,1989,16,16,1367,15.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,872cd68c
18,Benjamin Angoua,ci CIV,DF,Guingamp,29,1986,7,6,538,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,de715534
19,Houssem Aouar,fr FRA,FW,Lyon,18,1998,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5db0bec
20,Mauro Arambarri,uy URU,MF,Bordeaux,20,1995,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,58afe001
21,Alphonse Areola,fr FRA,GK,Paris S-G,23,1993,15,14,1297,14.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
22,Fernando Aristeguieta,ve VEN,FW,Nantes,24,1992,5,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0c403511
23,Sylvain Armand,fr FRA,DF,Rennes,35,1980,1,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cfa036c3
24,Benoît Assou-Ekotto,cm CMR,DF,Metz,32,1984,18,16,1479,16.4,0,1,1,0,0,0,1,3,0.00,0.06,0.06,0.00,0.06,Matches,a557e6b0
25,Jean-Kévin Augustin,fr FRA,FW,Paris S-G,19,1997,10,1,196,2.2,1,2,3,1,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches,97bfa797
26,Serge Aurier,ci CIV,DF,Paris S-G,23,1992,22,21,1829,20.3,0,3,3,0,0,0,4,2,0.00,0.15,0.15,0.00,0.15,Matches,5c2b4f07
27,Ludovic Baal,gf GUF,DFMF,Rennes,30,1986,33,33,2880,32.0,0,4,4,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,Matches,d3ce9f1f
28,Loic Badiashile,fr FRA,GK,Monaco,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34e38ddf
29,Tobias Badila,cg CGO,DF,Nancy,23,1993,26,24,2252,25.0,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,c0dddddd
30,Dylan Bahamboula,cg CGO,FW,Dijon,21,1995,11,4,526,5.8,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,7844c810
31,Farès Bahlouli,fr FRA,MF,Lille,21,1995,3,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,776972d5
32,Tiemoué Bakayoko,fr FRA,MF,Monaco,21,1994,32,25,2223,24.7,2,1,3,2,0,0,2,1,0.08,0.04,0.12,0.08,0.12,Matches,59bf127b
33,Iván Balliu,al ALB,DF,Metz,24,1992,27,26,2331,25.9,0,4,4,0,0,0,4,0,0.00,0.15,0.15,0.00,0.15,Matches,cee88597
