Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
176,Andre Gray,jm JAM,FW,Watford,27,1991,29,13,1366,15.2,7,2,9,7,0,0,2,0,5.0,5.0,1.9,7.0,21,15,96,0.46,0.13,0.59,0.46,0.59,0.33,0.13,0.46,0.33,0.46,Matches,c24dba2a
177,Demarai Gray,eng ENG,FWMF,Leicester City,22,1996,34,23,1985,22.1,4,1,5,4,0,0,2,0,4.5,4.5,1.3,5.8,73,53,180,0.18,0.05,0.23,0.18,0.23,0.20,0.06,0.26,0.20,0.26,Matches,4468ec10
178,Mason Greenwood,eng ENG,FW,Manchester Utd,16,2001,3,1,117,1.3,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.8,8,3,18,0.00,0.00,0.00,0.00,0.00,0.51,0.07,0.58,0.51,0.58,Matches,58eee997
179,Pascal Groß,de GER,MFFW,Brighton,27,1991,25,24,1864,20.7,3,3,6,2,1,2,1,0,4.4,2.8,5.5,8.4,26,110,106,0.14,0.14,0.29,0.10,0.24,0.21,0.27,0.48,0.14,0.40,Matches,8aec0537
180,Vicente Guaita,es ESP,GK,Crystal Palace,31,1987,20,20,1754,19.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab13a5aa
181,Mattéo Guendouzi,fr FRA,MF,Arsenal,19,1999,33,23,2149,23.9,0,0,0,0,0,0,9,0,0.6,0.6,1.8,2.4,71,200,50,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10,Matches,5ea8ef20
182,?lkay Gündo?an,de GER,MF,Manchester City,27,1990,31,23,2137,23.7,6,3,9,6,0,0,3,0,4.1,4.1,4.3,8.4,82,205,91,0.25,0.13,0.38,0.25,0.38,0.17,0.18,0.35,0.17,0.35,Matches,819b3158
183,Angus Gunn,sct SCO,GK,Southampton,22,1996,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e082af5b
184,Aron Gunnarsson,is ISL,MF,Cardiff City,29,1989,28,27,2266,25.2,1,1,2,1,0,0,5,0,2.0,2.0,1.6,3.6,10,85,12,0.04,0.04,0.08,0.04,0.08,0.08,0.06,0.14,0.08,0.14,Matches,e2533c20
185,Florent Hadergjonaj,xk KVX,DFMF,Huddersfield,24,1994,24,19,1842,20.5,0,0,0,0,0,0,1,0,0.2,0.2,1.5,1.7,47,65,106,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,9aa186b2
