Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Ismael Aaneba,fr FRA,DF,Strasbourg,19,1999,3,3,204,2.3,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.4,3,8,8,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches,a7e4760c
2,Yunis Abdelhamid,ma MAR,DF,Reims,30,1987,38,38,3420,38.0,0,0,0,0,0,0,2,0,1.6,1.6,0.1,1.8,16,71,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05,Matches,32c2d95f
3,Mehdi Abeid,dz ALG,MF,Dijon,25,1992,26,23,2023,22.5,3,0,3,2,1,1,6,0,2.9,2.1,1.6,3.8,43,97,50,0.13,0.00,0.13,0.09,0.09,0.13,0.07,0.20,0.10,0.17,Matches,a4c3f7af
4,Charles Abi,fr FRA,DFFW,Saint-Étienne,18,2000,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0,0.00,0.00,0.00,0.00,0.00,0.17,0.12,0.29,0.17,0.29,Matches,469d3d84
5,Khaled Adénon,bj BEN,DF,Amiens,33,1985,23,22,1994,22.2,0,0,0,0,0,0,7,1,0.7,0.7,0.1,0.9,13,63,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches,16714a62
6,Yacine Adli,fr FRA,MF,Bordeaux,18,2000,7,2,216,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.8,0.8,13,17,17,0.00,0.00,0.00,0.00,0.00,0.01,0.34,0.34,0.01,0.34,Matches,26777636
7,Nayef Aguerd,ma MAR,DF,Dijon,22,1996,13,12,1050,11.7,3,0,3,3,0,0,4,1,1.5,1.5,0.1,1.6,11,32,3,0.26,0.00,0.26,0.26,0.26,0.13,0.01,0.14,0.13,0.14,Matches,288e1e13
8,Ruben Aguilar,fr FRA,DF,Montpellier,25,1993,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155,0.04,0.14,0.18,0.04,0.18,0.03,0.09,0.12,0.03,0.12,Matches,3dd738a1
9,Jean-Eudes Aholou,ci CIV,MF,Monaco,24,1994,17,12,1075,11.9,0,1,1,0,0,0,2,0,0.8,0.8,0.6,1.5,36,64,27,0.00,0.08,0.08,0.00,0.08,0.07,0.05,0.12,0.07,0.12,Matches,48b28bfd
10,Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,22,1996,13,11,936,10.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches,c46fa34c
11,Youssef Aït Bennasser,ma MAR,MF,Monaco,22,1996,13,12,1073,11.9,0,2,2,0,0,0,2,0,0.3,0.3,0.8,1.1,21,86,13,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.09,0.02,0.09,Matches,c46fa34c
12,Rayan Aït Nouri,dz ALG,DFMF,Angers,17,2001,3,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9b398aea
13,Ludovic Ajorque,fr FRA,FW,Strasbourg,24,1994,25,18,1531,17.0,9,1,10,9,0,0,5,0,5.7,5.7,1.0,6.7,11,25,126,0.53,0.06,0.59,0.53,0.59,0.34,0.06,0.40,0.34,0.40,Matches,462475ed
14,Sofiane Alakouch,ma MAR,DF,Nîmes,20,1998,25,23,1895,21.1,1,0,1,1,0,0,4,0,0.5,0.5,1.5,2.0,43,79,64,0.05,0.00,0.05,0.05,0.05,0.02,0.07,0.10,0.02,0.10,Matches,5314e067
15,Alexis Alegue,fr FRA,FW,Nantes,21,1996,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0f4c0bad
16,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,23,1995,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8fa8f8d2
17,Rachid Alioui,ma MAR,FW,Nîmes,26,1992,27,11,1252,13.9,5,0,5,5,0,0,1,0,5.4,5.4,1.2,6.6,24,22,79,0.36,0.00,0.36,0.36,0.36,0.39,0.08,0.48,0.39,0.48,Matches,bdedd861
18,Bobby Allain,fr FRA,GK,Dijon,26,1991,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8870154f
19,Mickaël Alphonse,gp GLP,DF,Dijon,29,1989,11,6,571,6.3,1,0,1,1,0,0,0,0,0.3,0.3,0.4,0.7,21,18,38,0.16,0.00,0.16,0.16,0.16,0.05,0.07,0.11,0.05,0.11,Matches,0a63446f
20,Dani Alves,br BRA,MFDF,Paris S-G,35,1983,23,19,1622,18.0,1,7,8,1,0,0,4,0,1.8,1.8,6.4,8.2,41,163,131,0.06,0.39,0.44,0.06,0.44,0.10,0.36,0.46,0.10,0.46,Matches,c9e99e49
21,Romain Amalfitano,fr FRA,MFFW,Dijon,28,1989,32,30,2522,28.0,0,0,0,0,0,0,3,1,0.7,0.7,0.9,1.6,44,134,62,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,0.02,0.06,Matches,d7bf3d19
22,Jordan Amavi,fr FRA,DF,Marseille,24,1994,28,24,2177,24.2,0,2,2,0,0,0,7,2,0.8,0.8,2.0,2.8,74,82,98,0.00,0.08,0.08,0.00,0.08,0.03,0.08,0.11,0.03,0.11,Matches,22721b88
23,Kelvin Amian,fr FRA,DF,Toulouse,20,1998,32,32,2880,32.0,0,1,1,0,0,0,6,0,0.6,0.6,0.8,1.4,46,106,59,0.00,0.03,0.03,0.00,0.03,0.02,0.02,0.04,0.02,0.04,Matches,bcc81786
24,Yanis Ammour,fr FRA,MF,Montpellier,19,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,aeed036d
25,Benjamin André,fr FRA,MF,Rennes,27,1990,30,28,2495,27.7,3,1,4,3,0,0,8,1,3.0,3.0,0.8,3.9,52,185,86,0.11,0.04,0.14,0.11,0.14,0.11,0.03,0.14,0.11,0.14,Matches,ef9c1c95
26,Yoann Andreu,fr FRA,DF,Angers,29,1989,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,872cd68c
27,Houssem Aouar,fr FRA,MF,Lyon,20,1998,37,35,3061,34.0,7,7,14,7,0,0,2,0,6.8,6.8,4.7,11.5,96,274,163,0.21,0.21,0.41,0.21,0.41,0.20,0.14,0.34,0.20,0.34,Matches,a5db0bec
28,Luiz Araújo,br BRA,FWMF,Lille,22,1996,25,6,781,8.7,3,2,5,3,0,0,2,1,2.1,2.1,0.9,3.0,30,43,45,0.35,0.23,0.58,0.35,0.58,0.24,0.10,0.35,0.24,0.35,Matches,fa18c72e
29,Alphonse Areola,fr FRA,GK,Paris S-G,25,1993,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2f965a72
30,Yoël Armougom,fr FRA,DF,Caen,20,1998,29,20,1853,20.6,0,1,1,0,0,0,5,1,0.3,0.3,1.7,2.0,45,67,49,0.00,0.05,0.05,0.00,0.05,0.01,0.08,0.10,0.01,0.10,Matches,9dd5da03
31,Youcef Atal,dz ALG,DFFW,Nice,22,1996,29,25,2263,25.1,6,0,6,6,0,1,8,0,4.6,3.9,2.6,6.5,137,86,275,0.24,0.00,0.24,0.24,0.24,0.18,0.10,0.29,0.15,0.26,Matches,6a827d8e
32,Ludovic Baal,gf GUF,DF,Rennes,32,1986,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d3ce9f1f
33,Benoît Badiashile,fr FRA,DF,Monaco,17,2001,20,20,1762,19.6,1,0,1,1,0,0,4,0,0.8,0.8,0.1,0.9,18,93,2,0.05,0.00,0.05,0.05,0.05,0.04,0.00,0.04,0.04,0.04,Matches,06df8256
34,Stéphane Bahoken,cm CMR,FW,Angers,26,1992,32,31,2469,27.4,11,1,12,9,2,3,3,0,9.5,7.1,2.7,9.8,31,32,173,0.40,0.04,0.44,0.33,0.36,0.35,0.10,0.44,0.26,0.36,Matches,5046b7d4
35,Fodé Ballo-Touré,sn SEN,DF,Lille,21,1997,18,18,1593,17.7,0,1,1,0,0,0,3,0,0.4,0.4,1.0,1.4,36,65,63,0.00,0.06,0.06,0.00,0.06,0.02,0.06,0.08,0.02,0.08,Matches,f449640d
36,Fodé Ballo-Touré,sn SEN,DF,Monaco,21,1997,18,18,1594,17.7,0,3,3,0,0,0,4,0,0.2,0.2,2.4,2.6,63,72,82,0.00,0.17,0.17,0.00,0.17,0.01,0.13,0.15,0.01,0.15,Matches,f449640d
37,Florent Balmont,fr FRA,MF,Dijon,38,1980,20,15,1076,12.0,0,1,1,0,0,0,3,0,0.1,0.1,1.2,1.3,15,75,13,0.00,0.08,0.08,0.00,0.08,0.01,0.10,0.11,0.01,0.11,Matches,4e7bfc23
38,Mario Balotelli,it ITA,FW,Nice,27,1990,10,9,752,8.4,0,1,1,0,0,0,5,0,3.1,3.1,1.5,4.6,10,25,60,0.00,0.12,0.12,0.00,0.12,0.37,0.18,0.56,0.37,0.56,Matches,8ff07990
39,Mario Balotelli,it ITA,FW,Marseille,27,1990,15,12,933,10.4,8,0,8,8,0,0,5,1,5.5,5.5,0.7,6.2,17,18,38,0.77,0.00,0.77,0.77,0.77,0.53,0.06,0.60,0.53,0.60,Matches,8ff07990
40,Abdoulaye Bamba,ci CIV,DF,Angers,28,1990,30,29,2573,28.6,0,4,4,0,0,0,6,0,0.2,0.2,1.9,2.1,60,90,79,0.00,0.14,0.14,0.00,0.14,0.01,0.07,0.07,0.01,0.07,Matches,7fecbcdb
41,Jonathan Bamba,fr FRA,FWMF,Lille,22,1996,38,35,3004,33.4,13,3,16,12,1,1,4,0,8.4,7.6,5.3,13.0,112,125,265,0.39,0.09,0.48,0.36,0.45,0.25,0.16,0.41,0.23,0.39,Matches,b2bd0f6c
42,Yacine Bammou,ma MAR,FWMF,Caen,26,1991,17,9,923,10.3,2,0,2,1,1,1,2,0,1.4,0.6,0.4,1.0,12,17,63,0.20,0.00,0.20,0.10,0.10,0.14,0.04,0.18,0.06,0.10,Matches,a1d04509
43,Danilo Barbosa,br BRA,MF,Nice,22,1996,22,18,1548,17.2,0,0,0,0,0,0,1,1,1.9,1.9,0.9,2.7,27,62,63,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16,Matches,0557ff4f
44,Antonio Barreca,it ITA,DF,Monaco,23,1995,7,7,593,6.6,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,15,18,29,0.00,0.15,0.15,0.00,0.15,0.02,0.05,0.08,0.02,0.08,Matches,6a189491
45,Toma Baši?,hr CRO,MF,Bordeaux,21,1996,23,16,1333,14.8,2,0,2,2,0,0,3,0,1.2,1.2,1.7,3.0,20,64,58,0.14,0.00,0.14,0.14,0.14,0.08,0.12,0.20,0.08,0.20,Matches,80556f08
