Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Ignazio Abate,it ITA,DFMF,Milan,24,1986,29,29,2597,28.9,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,1c529186
2,Christian Abbiati,it ITA,GK,Milan,34,1977,31,31,2689,29.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,322421c2
3,Almen Abdi,ch SUI,MF,Udinese,24,1986,23,9,920,10.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8d425d84
4,Francesco Acerbi,it ITA,DF,Chievo,23,1988,17,14,1341,14.9,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,b96b595c
5,Maxwell Acosty,gh GHA,FWMF,Fiorentina,19,1991,5,0,125,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,64a674d9
6,Robert Acquafresca,it ITA,FW,Bologna,23,1987,32,17,1594,17.7,5,1,6,5,0,0,2,0,0.28,0.06,0.34,0.28,0.34,Matches,d2b115ae
7,Afriyie Acquah,gh GHA,MF,Palermo,19,1992,20,10,985,10.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,d7403bd5
8,Michael Agazzi,it ITA,GK,Cagliari,27,1984,36,36,3197,35.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,0eda0ab8
9,Federico Agliardi,it ITA,GK,Bologna,28,1983,10,9,831,9.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18b0ad94
10,Alessandro Agostini,it ITA,DF,Cagliari,32,1979,35,35,3072,34.1,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,9549f66d
11,Matías Aguirregaray,uy URU,DFMF,Palermo,22,1989,12,5,616,6.8,0,1,1,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,8617e3d9
12,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,20,1990,10,6,612,6.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fe0b8f0e
13,Emiliano Alfaro,uy URU,FW,Lazio,23,1988,8,1,240,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c70e8c98
14,Masahudu Alhassan,gh GHA,DFMF,Genoa,18,1992,4,2,113,1.3,0,1,1,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,Matches,061c9f6f
15,Sergio Almirón,ar ARG,MF,Catania,30,1980,32,31,2605,28.9,4,0,4,4,0,0,5,1,0.14,0.00,0.14,0.14,0.14,Matches,ce05fadf
16,Édgar Álvarez,hn HON,DFMF,Palermo,31,1980,8,4,409,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41d086b6
17,Pablo Álvarez,ar ARG,DF,Catania,27,1984,7,7,506,5.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1226cc4f
18,Ricky Álvarez,ar ARG,MF,Inter,23,1988,21,15,1167,13.0,2,5,7,2,0,0,3,0,0.15,0.39,0.54,0.15,0.54,Matches,92a5ac34
19,Amauri,it ITA,FW,Fiorentina,31,1980,13,11,973,10.8,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches,b6d4bf9d
20,Massimo Ambrosini,it ITA,MF,Milan,34,1977,22,17,1407,15.6,1,2,3,1,0,0,7,0,0.06,0.13,0.19,0.06,0.19,Matches,26b20735
21,Marco Amelia,it ITA,GK,Milan,29,1982,9,7,731,8.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54da8e59
22,Massimiliano Ammendola,it ITA,MF,Napoli,21,1990,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,110c39d8
23,Marco Andreolli,it ITA,DF,Chievo,25,1986,23,22,1889,21.0,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,13d820de
24,Mariano Andújar,ar ARG,GK,Catania,28,1983,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,609cd867
25,José Ángel Crespo,es ESP,DF,Bologna,24,1987,7,3,326,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8ec4c2f7
26,José Ángel,es ESP,DF,Roma,21,1989,27,24,2182,24.2,0,1,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches,3024e383
27,Ângelo,br BRA,DFMF,Siena,30,1981,13,7,629,7.0,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,376fa7e6
28,Luca Antonelli,it ITA,DFMF,Genoa,24,1987,11,8,677,7.5,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,40f0ed6c
29,Luca Antonini,it ITA,DFMF,Milan,28,1982,20,17,1464,16.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,09952eb7
30,Francesco Antonioli,it ITA,GK,Cesena,41,1969,30,30,2691,29.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0fa7ec78
31,Mikael Antonsson,se SWE,DF,Bologna,30,1981,24,22,1862,20.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f2d791b6
32,Alberto Aquilani,it ITA,MF,Milan,27,1984,23,14,1398,15.5,1,5,6,1,0,0,5,0,0.06,0.32,0.39,0.06,0.39,Matches,ad340e17
33,Lorenzo Ariaudo,it ITA,DF,Cagliari,22,1989,24,16,1601,17.8,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,68b78c2a
34,Pablo Armero,co COL,DFMF,Udinese,24,1986,28,25,2328,25.9,0,9,9,0,0,0,7,0,0.00,0.35,0.35,0.00,0.35,Matches,afabf74e
