Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Ignazio Abate,it ITA,DFMF,Milan,27,1986,23,21,1884,20.9,0,6,6,0,0,0,5,0,0.00,0.29,0.29,0.00,0.29,Matches,1c529186
2,Christian Abbiati,it ITA,GK,Milan,37,1977,11,10,906,10.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,322421c2
3,Francesco Acerbi,it ITA,DF,Sassuolo,26,1988,32,32,2878,32.0,3,0,3,3,0,0,8,1,0.09,0.00,0.09,0.09,0.09,Matches,b96b595c
4,Afriyie Acquah,gh GHA,MF,Sampdoria,22,1992,10,10,713,7.9,1,0,1,1,0,0,4,1,0.13,0.00,0.13,0.13,0.13,Matches,d7403bd5
5,Afriyie Acquah,gh GHA,MF,Parma,22,1992,14,12,1119,12.4,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,d7403bd5
6,Federico Agliardi,it ITA,GK,Cesena,31,1983,10,9,870,9.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18b0ad94
7,Alessandro Agostini,it ITA,DF,Hellas Verona,35,1979,22,21,1911,21.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,9549f66d
8,Rodrigo Aguirre,uy URU,FW,Udinese,19,1994,7,1,222,2.5,1,0,1,1,0,0,2,0,0.41,0.00,0.41,0.41,0.41,Matches,b5691f5d
9,Rodrigo Aguirre,uy URU,FW,Empoli,19,1994,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b5691f5d
10,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,23,1990,27,20,1874,20.8,1,1,2,1,0,0,5,1,0.05,0.05,0.10,0.05,0.10,Matches,fe0b8f0e
11,Raúl Albiol,es ESP,DF,Napoli,28,1985,35,34,3100,34.4,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches,4bd414c1
12,Alex,br BRA,DF,Milan,32,1982,21,18,1394,15.5,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,58721835
13,Allan,br BRA,DFMF,Udinese,23,1991,35,33,3001,33.3,1,5,6,1,0,0,8,0,0.03,0.15,0.18,0.03,0.18,Matches,cc700722
14,Hugo Almeida,pt POR,FW,Cesena,30,1984,10,7,684,7.6,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,740acaf8
15,Marcos Alonso,es ESP,DFMF,Fiorentina,23,1990,22,19,1681,18.7,1,3,4,1,0,0,4,0,0.05,0.16,0.21,0.05,0.21,Matches,f4290206
16,Amauri,it ITA,FW,Torino,34,1980,20,7,864,9.6,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,b6d4bf9d
17,Amauri,it ITA,FW,Parma,34,1980,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6d4bf9d
18,Felipe Anderson,br BRA,FWMF,Lazio,21,1993,32,23,2094,23.3,10,6,16,10,0,0,5,0,0.43,0.26,0.69,0.43,0.69,Matches,9f1893b9
19,Marco Andreolli,it ITA,DF,Inter,28,1986,6,5,447,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,13d820de
20,Mariano Andújar,ar ARG,GK,Napoli,31,1983,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,609cd867
21,Luca Antei,it ITA,DF,Sassuolo,22,1992,8,5,515,5.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,97c9bce3
22,Luca Antonelli,it ITA,DFMF,Genoa,27,1987,19,18,1640,18.2,3,1,4,3,0,0,4,0,0.16,0.05,0.22,0.16,0.22,Matches,40f0ed6c
23,Luca Antonelli,it ITA,DFMF,Milan,27,1987,12,12,1056,11.7,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,40f0ed6c
24,Luca Antonini,it ITA,DFMF,Genoa,31,1982,7,3,348,3.9,1,0,1,1,0,0,1,0,0.26,0.00,0.26,0.26,0.26,Matches,09952eb7
25,Siniša An?elkovi?,si SVN,DF,Palermo,28,1986,32,32,2819,31.3,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,f978a28b
26,Alberto Aquilani,it ITA,MF,Fiorentina,30,1984,25,17,1613,17.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,ad340e17
27,Lorenzo Ariaudo,it ITA,DF,Sassuolo,25,1989,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,68b78c2a
28,Pablo Armero,co COL,DFMF,Milan,27,1986,8,6,589,6.5,0,1,1,0,0,0,2,1,0.00,0.15,0.15,0.00,0.15,Matches,afabf74e
29,Kwadwo Asamoah,gh GHA,DFMF,Juventus,25,1988,7,7,620,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,089550f5
30,Davide Astori,it ITA,DF,Roma,27,1987,24,22,2040,22.7,1,0,1,1,0,0,10,0,0.04,0.00,0.04,0.04,0.04,Matches,1522dab2
31,Danilo Avelar,br BRA,DFMF,Cagliari,25,1989,31,29,2636,29.3,4,3,7,1,3,4,11,1,0.14,0.10,0.24,0.03,0.14,Matches,eacb45fd
32,Vlada Avramov,rs SRB,GK,Atalanta,35,1979,1,1,56,0.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,baf76a08
33,Khouma Babacar,sn SEN,FW,Fiorentina,21,1993,20,14,1146,12.7,7,2,9,7,0,1,2,0,0.55,0.16,0.71,0.55,0.71,Matches,422ec08a
34,Milan Badelj,hr CRO,MF,Fiorentina,25,1989,21,18,1546,17.2,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches,e8c930bb
