Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,David Abraham,ar ARG,DF,Eint Frankfurt,29,1986,31,28,2547,28.3,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,565bf0da
2,René Adler,de GER,GK,Hamburger SV,30,1985,24,24,2071,23.0,0,1,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches,f71890f5
3,Stefan Aigner,de GER,MFFW,Eint Frankfurt,27,1987,31,27,2394,26.6,3,3,6,3,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches,17cc3f63
4,Albian Ajeti,ch SUI,FW,Augsburg,18,1997,1,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2b1c4abd
5,David Alaba,at AUT,DF,Bayern Munich,23,1992,30,27,2492,27.7,2,0,2,2,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,05439de2
6,Miiko Albornoz,cl CHI,DF,Hannover 96,24,1990,23,23,2069,23.0,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,d459281d
7,Thiago Alcántara,es ESP,MF,Bayern Munich,24,1991,27,16,1643,18.3,2,3,5,2,0,0,2,0,0.11,0.16,0.27,0.11,0.27,Matches,77e84962
8,Hugo Almeida,pt POR,FW,Hannover 96,31,1984,7,5,530,5.9,1,0,1,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,Matches,740acaf8
9,Xabi Alonso,es ESP,MFDF,Bayern Munich,33,1981,26,23,1945,21.6,0,2,2,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09,Matches,dc001a06
10,Batuhan Alt?nta?,tr TUR,FW,Hamburger SV,19,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,362269ee
11,Halil Alt?ntop,tr TUR,MF,Augsburg,32,1982,19,15,1200,13.3,1,2,3,1,0,0,1,0,0.07,0.15,0.23,0.07,0.23,Matches,efcdb132
12,Nadiem Amiri,de GER,MFFW,Hoffenheim,18,1996,25,16,1460,16.2,4,4,8,4,0,0,4,0,0.25,0.25,0.49,0.25,0.49,Matches,555d5edd
13,Leon Andreasen,dk DEN,MF,Hannover 96,32,1983,15,13,1080,12.0,2,1,3,2,0,0,4,0,0.17,0.08,0.25,0.17,0.25,Matches,8a000de5
14,Waldemar Anton,de GER,DFMF,Hannover 96,19,1996,8,6,583,6.5,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,5e66fa06
15,Dennis Aogo,de GER,DFMF,Schalke 04,28,1987,23,20,1852,20.6,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,c311243f
16,Charles Aránguiz,cl CHI,MFDF,Leverkusen,26,1989,7,5,470,5.2,2,1,3,2,0,0,1,0,0.38,0.19,0.57,0.38,0.57,Matches,56413b1f
17,Fynn Arkenberg,de GER,DF,Hannover 96,19,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b301674b
18,Maximilian Arnold,de GER,MF,Wolfsburg,21,1994,31,22,2039,22.7,3,2,5,3,0,0,4,0,0.13,0.09,0.22,0.13,0.22,Matches,86e119e0
19,Ahmet Arslan,tr TUR,MF,Hamburger SV,21,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d63e97c6
20,Carlos Ascues,pe PER,DFMF,Wolfsburg,23,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,38851eb2
21,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,26,1989,31,28,2467,27.4,25,5,30,22,3,4,4,0,0.91,0.18,1.09,0.80,0.99,Matches,d5dd5f1f
22,Kaan Ayhan,tr TUR,DFMF,Schalke 04,20,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2200181e
23,Kaan Ayhan,tr TUR,MF,Eint Frankfurt,20,1994,2,1,79,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2200181e
24,Ismail Azzaoui,be BEL,FW,Wolfsburg,17,1998,2,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,272cfd72
25,Holger Badstuber,de GER,DF,Bayern Munich,26,1989,7,5,471,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45b7edae
26,Nabil Bahoui,se SWE,MF,Hamburger SV,24,1991,6,2,212,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8689dccc
27,Mike-Steven Bähre,de GER,MF,Hannover 96,19,1995,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3fb33d66
28,Daniel Baier,de GER,MF,Augsburg,31,1984,28,28,2324,25.8,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,Matches,f261abcb
29,Leon Balogun,ng NGA,DF,Mainz 05,27,1988,21,17,1513,16.8,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,78e68b4d
30,Federico Barba,it ITA,DF,Stuttgart,21,1993,2,2,139,1.5,1,0,1,1,0,0,0,0,0.65,0.00,0.65,0.65,0.65,Matches,c010b898
31,Philipp Bargfrede,de GER,MF,Werder Bremen,26,1989,14,14,1183,13.1,0,1,1,0,0,0,2,1,0.00,0.08,0.08,0.00,0.08,Matches,3f7cd8f1
32,Fin Bartels,de GER,MFFW,Werder Bremen,28,1987,30,22,2068,23.0,8,1,9,8,0,0,6,1,0.35,0.04,0.39,0.35,0.39,Matches,acc7b7ec
33,Robert Bauer,de GER,DF,Ingolstadt 04,20,1995,24,18,1680,18.7,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches,9b88e120
