Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
415,Pablo Pinillos Caro,es ESP,DF,Racing Sant,36,1974,20,19,1638,18.2,2,2,4,1,1,2,5,0,0.11,0.11,0.22,0.05,0.16,Matches,9d19d667
416,Ádám Pintér,hu HUN,DFMF,Zaragoza,22,1988,9,4,373,4.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,fdbcd938
417,Pablo Pintos,uy URU,DF,Getafe,23,1987,6,4,428,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0fe4654e
418,Gerard Piqué,es ESP,DF,Barcelona,23,1987,31,29,2649,29.4,3,1,4,3,0,0,10,1,0.10,0.03,0.14,0.10,0.14,Matches,adfc9123
419,Waldo Ponce,cl CHI,DF,Racing Sant,27,1982,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d10210a7
420,Leonardo Ponzio,ar ARG,MF,Zaragoza,28,1982,32,30,2567,28.5,2,2,4,2,0,0,13,2,0.07,0.07,0.14,0.07,0.14,Matches,6f3a6343
421,Cristian Portilla,es ESP,MF,Sporting Gijón,21,1988,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f09542a
422,Francisco Portillo,es ESP,MF,Málaga,20,1990,17,7,766,8.5,0,1,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,Matches,8e010ff4
423,Javier Portillo,es ESP,FW,Hércules,28,1982,26,11,1155,12.8,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,99058498
424,Javi Poves,es ESP,DF,Sporting Gijón,23,1986,1,0,12,0.1,0,,,0,0,,0,0,0.00,,,0.00,,Matches,fb15bf58
425,Xabi Prieto,es ESP,MF,Real Sociedad,26,1983,37,36,3235,35.9,7,9,16,3,4,4,6,0,0.19,0.25,0.45,0.08,0.33,Matches,d054d8b0
426,Cristian Pulhac,ro ROU,DF,Hércules,25,1984,9,9,759,8.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,b68a705d
427,Jorge Pulido,es ESP,DF,Atlético Madrid,19,1991,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,978cd030
428,Francisco Puñal,es ESP,MF,Osasuna,34,1975,33,32,2825,31.4,0,3,3,0,0,0,16,0,0.00,0.10,0.10,0.00,0.10,Matches,408ec22e
429,Carles Puyol,es ESP,DF,Barcelona,32,1978,17,17,1381,15.3,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,7c0bda9b
430,Rafa,es ESP,DFMF,Getafe,25,1985,19,17,1542,17.1,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,0b89dbcc
431,Ivan Rakiti?,hr CRO,MF,Sevilla,22,1988,13,13,1091,12.1,5,1,6,5,0,0,1,0,0.41,0.08,0.49,0.41,0.49,Matches,89f951b5
432,Iván Ramis,es ESP,DF,Mallorca,25,1984,33,33,2917,32.4,3,0,3,2,1,2,6,0,0.09,0.00,0.09,0.06,0.06,Matches,d2be40f2
433,Edu Ramos,es ESP,MF,Málaga,18,1992,5,1,106,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e6793b40
434,Sergio Ramos,es ESP,DF,Real Madrid,24,1986,31,30,2703,30.0,3,2,5,2,1,1,11,1,0.10,0.07,0.17,0.07,0.13,Matches,08511d65
435,Edson Ratinho,br BRA,DFMF,Mallorca,24,1986,7,7,573,6.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1f59bef7
436,Recio,es ESP,MF,Málaga,19,1991,23,18,1624,18.0,2,1,3,2,0,0,3,0,0.11,0.06,0.17,0.11,0.17,Matches,54073b28
437,Manolo Reina,es ESP,GK,Levante,25,1985,18,18,1620,18.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,605eb473
438,Renato,br BRA,MF,Sevilla,31,1979,24,13,1277,14.2,2,2,4,2,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,dc4d83fe
439,Ricardo,es ESP,GK,Osasuna,38,1971,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2fe713ed
440,Baltasar Rigo,es ESP,DF,Almería,25,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b80570db
441,Riki,es ESP,FW,La Coruña,29,1980,19,8,850,9.4,3,3,6,2,1,1,2,0,0.32,0.32,0.64,0.21,0.53,Matches,ab21507f
442,Pedro Ríos,es ESP,MF,Getafe,28,1981,31,27,2218,24.6,7,3,10,7,0,0,5,0,0.28,0.12,0.41,0.28,0.41,Matches,96ef8f9f
443,Diego Rivas,es ESP,MF,Real Sociedad,30,1980,32,31,2564,28.5,2,0,2,2,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches,eecf46bc
444,Alberto Rivera,es ESP,MF,Sporting Gijón,32,1978,30,30,2545,28.3,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,7002b605
445,Sergi Roberto,es ESP,DFMF,Barcelona,18,1992,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches,335fa267
446,Miquel Robusté,es ESP,DF,Levante,25,1985,7,4,424,4.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,4be9a341
447,David Rochela,es ESP,DF,La Coruña,20,1990,2,2,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac3499f5
448,Héctor Rodas,es ESP,DF,Levante,22,1988,5,5,408,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,dcdd3a95
449,Rodri,es ESP,DF,Hércules,25,1984,13,10,1043,11.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,7fa4aa89
450,Rodri,es ESP,FW,Sevilla,20,1990,5,2,224,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5200dce9
451,Gonzalo Rodríguez,ar ARG,DF,Villarreal,26,1984,23,20,1810,20.1,1,0,1,1,0,0,5,1,0.05,0.00,0.05,0.05,0.05,Matches,46e6fea3
452,Juan Rodríguez,es ESP,MF,La Coruña,28,1982,31,29,2563,28.5,1,2,3,1,0,0,9,1,0.04,0.07,0.11,0.04,0.11,Matches,25c3c939
453,Raúl Rodríguez,es ESP,DF,Espanyol,22,1987,10,8,754,8.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,815a6c71
454,Vicente Rodríguez,es ESP,FWMF,Valencia,29,1981,14,5,569,6.3,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,73b8c719
455,Romaric,ci CIV,MF,Sevilla,27,1983,26,19,1557,17.3,1,4,5,1,0,0,5,0,0.06,0.23,0.29,0.06,0.29,Matches,9bb5c5e0
456,Oriol Romeu,es ESP,MF,Barcelona,18,1991,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4b511457
457,Cristiano Ronaldo,pt POR,FWMF,Real Madrid,25,1985,34,32,2914,32.4,40,9,49,32,8,8,2,0,1.24,0.28,1.51,0.99,1.27,Matches,dea698d9
458,Salomón Rondón,ve VEN,FW,Málaga,20,1989,30,28,2417,26.9,14,2,16,14,0,0,2,0,0.52,0.07,0.60,0.52,0.60,Matches,b318a643
