Round,Wk,Day,Date,Time,Home,xG,Score,xG_1,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,3,Mon,6/25/2018,20:00 (12:00),Spain es,2.9,2–2,1.2,ma Morocco,33973,Kaliningrad Stadium (Neutral Site),Ravshan Irmatov,Match Report,
Group stage,3,Mon,6/25/2018,21:00 (12:00),IR Iran ir,1.4,1–1,1.3,pt Portugal,41685,Mordovia Arena (Neutral Site),Enrique Cáceres,Match Report,
Group stage,3,Tue,6/26/2018,17:00 (08:00),Australia au,0.9,0–2,0.2,pe Peru,44073,Olimpiyskiy Stadion Fisht (Neutral Site),Sergey Karasev,Match Report,
Group stage,3,Tue,6/26/2018,17:00 (08:00),Denmark dk,0.2,0–0,0.4,fr France,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Sandro Ricci,Match Report,
Group stage,3,Tue,6/26/2018,21:00 (12:00),Iceland is,2.1,1–2,0.7,hr Croatia,43472,Rostov Arena (Neutral Site),Antonio Matéu Lahoz,Match Report,
Group stage,3,Tue,6/26/2018,21:00 (12:00),Nigeria ng,1.4,1–2,0.9,ar Argentina,64468,Gazprom Arena (Neutral Site),Cüneyt Çak?r,Match Report,
Group stage,3,Wed,6/27/2018,17:00 (08:00),Korea Republic kr,1.7,2–0,2.7,de Germany,41835,Kazan Arena (Neutral Site),Mark Geiger,Match Report,
Group stage,3,Wed,6/27/2018,19:00 (08:00),Mexico mx,1.4,0–3,2.4,se Sweden,33061,Stadion Central'nyj (Neutral Site),Néstor Pitana,Match Report,
Group stage,3,Wed,6/27/2018,21:00 (12:00),Switzerland ch,1.4,2–2,1.5,cr Costa Rica,43319,Stadion Nizhny Novgorod (Neutral Site),Clément Turpin,Match Report,
Group stage,3,Wed,6/27/2018,21:00 (12:00),Serbia rs,0.8,0–2,1.4,br Brazil,44190,Otkrytie Arena (Neutral Site),Alireza Faghani,Match Report,
Group stage,3,Thu,6/28/2018,17:00 (08:00),Japan jp,0.7,0–1,1.4,pl Poland,42189,Volgograd Arena (Neutral Site),Janny Sikazwe,Match Report,
Group stage,3,Thu,6/28/2018,18:00 (08:00),Senegal sn,0.5,0–1,0.3,co Colombia,41970,Cosmos Arena (Neutral Site),Milorad Maži?,Match Report,
Group stage,3,Thu,6/28/2018,20:00 (12:00),England eng,0.9,0–1,1.3,be Belgium,33973,Kaliningrad Stadium (Neutral Site),Damir Skomina,Match Report,
Group stage,3,Thu,6/28/2018,21:00 (12:00),Panama pa,0.6,1–2,2.2,tn Tunisia,37168,Mordovia Arena (Neutral Site),Nawaf Shukralla,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Sat,6/30/2018,17:00 (08:00),France fr,2.2,4–3,0.8,ar Argentina,42873,Kazan Arena (Neutral Site),Alireza Faghani,Match Report,
Round of 16,,Sat,6/30/2018,21:00 (12:00),Uruguay uy,0.6,2–1,1,pt Portugal,44287,Olimpiyskiy Stadion Fisht (Neutral Site),César Arturo Ramos,Match Report,
Round of 16,,Sun,7/1/2018,17:00 (08:00),Spain es,1.8,(3) 1–1 (4),1,ru Russia,78011,Olimpiyskiy stadion Luzhniki (Neutral Site),Björn Kuipers,Match Report,Russia won on penalty kicks following extra time
Round of 16,,Sun,7/1/2018,21:00 (12:00),Croatia hr,2.5,(3) 1–1 (2),0.9,dk Denmark,40851,Stadion Nizhny Novgorod (Neutral Site),Néstor Pitana,Match Report,Croatia won on penalty kicks following extra time
Round of 16,,Mon,7/2/2018,18:00 (08:00),Brazil br,2.7,2–0,0.7,mx Mexico,41970,Cosmos Arena (Neutral Site),Gianluca Rocchi,Match Report,
Round of 16,,Mon,7/2/2018,21:00 (12:00),Belgium be,2.5,3–2,0.7,jp Japan,41466,Rostov Arena (Neutral Site),Malang Diédhiou,Match Report,
