Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Aymen Abdennour,tn TUN,DF,Toulouse,21,1989,32,32,2880,32.0,2,0,2,2,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,2f798b41
2,Pape Abdou Camara,sn SEN,MF,Valenciennes,19,1991,11,8,699,7.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5a4728b8
3,Vincent Aboubakar,cm CMR,FW,Valenciennes,19,1992,27,25,2227,24.7,6,3,9,6,0,0,6,0,0.24,0.12,0.36,0.24,0.36,Matches,8637e09a
4,Fabrice Abriel,fr FRA,MF,Nice,32,1979,27,23,1856,20.6,0,2,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,94ae30a8
5,Hakeem Achour,dz ALG,MF,Dijon,22,1989,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb5bbb56
6,Youssef Adnane,fr FRA,FW,Evian,26,1985,9,3,278,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0cb152eb
7,Yannick Aguemon,bj BEN,FWMF,Toulouse,19,1992,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6dc9d79c
8,Ali Ahamada,km COM,GK,Toulouse,19,1991,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0b64b1e6
9,Karim Aït-Fana,ma MAR,FWMF,Montpellier,22,1989,11,6,530,5.9,2,1,3,2,0,0,1,0,0.34,0.17,0.51,0.34,0.51,Matches,e4f090b8
10,Jean-Daniel Akpa-Akpro,ci CIV,DFMF,Toulouse,18,1992,13,5,604,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fdf4b948
11,Danijel Aleksi?,rs SRB,FWMF,Saint-Étienne,20,1991,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d68cb24c
12,Alex,br BRA,DF,Paris S-G,29,1982,15,15,1287,14.3,2,1,3,2,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches,58721835
13,Jérémie Aliadière,fr FRA,FWMF,Lorient,28,1983,18,15,1370,15.2,2,0,2,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,68ef3d96
14,Paul Alo'o,cm CMR,FW,Nancy,27,1983,6,0,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b37963b
15,Alejandro Alonso,ar ARG,MF,Saint-Étienne,29,1982,5,2,149,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,52c2dde2
16,Alexandre Alphonse,gp GLP,FWMF,Brest,29,1982,11,9,734,8.2,1,1,2,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches,2bef9dfd
17,Sanaa Altama,td CHA,MF,Dijon,21,1990,17,11,961,10.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cdb97a30
18,Morgan Amalfitano,fr FRA,MF,Marseille,26,1985,32,28,2454,27.3,1,4,5,1,0,0,9,0,0.04,0.15,0.18,0.04,0.18,Matches,ab914649
19,Stephan Andersen,dk DEN,GK,Evian,29,1981,30,29,2640,29.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,314c2af0
20,Benjamin André,fr FRA,DFMF,Ajaccio,20,1990,33,30,2646,29.4,4,2,6,4,0,0,11,0,0.14,0.07,0.20,0.14,0.20,Matches,ef9c1c95
21,Benjamin Angoua,ci CIV,DF,Valenciennes,24,1986,20,20,1726,19.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,de715534
22,Aldo Angoula,fr FRA,DF,Evian,30,1981,30,29,2576,28.6,2,0,2,2,0,0,8,1,0.07,0.00,0.07,0.07,0.07,Matches,301a013a
23,Kévin Anin,fr FRA,MF,Nice,25,1986,13,11,865,9.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,9b040de4
24,Kévin Anin,fr FRA,MF,Sochaux,25,1986,14,14,1260,14.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9b040de4
25,Onyekachi Apam,ng NGA,DF,Rennes,24,1986,12,12,915,10.2,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,40965cd3
26,Sylvain Armand,fr FRA,DF,Paris S-G,30,1980,23,8,875,9.7,1,1,2,1,0,0,3,0,0.10,0.10,0.21,0.10,0.21,Matches,cfa036c3
27,Pierre-Emerick Aubameyang,ga GAB,FWMF,Saint-Étienne,22,1989,36,36,3141,34.9,16,7,23,16,0,0,2,0,0.46,0.20,0.66,0.46,0.66,Matches,d5dd5f1f
28,Fabien Audard,fr FRA,GK,Lorient,33,1978,29,29,2465,27.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,9bb204e5
29,Serge Aurier,ci CIV,DFMF,Toulouse,18,1992,10,9,780,8.7,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,5c2b4f07
30,Mathias Autret,fr FRA,MF,Lorient,20,1991,27,17,1499,16.7,2,0,2,2,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,7dfbba27
31,André Ayew,gh GHA,FWMF,Marseille,21,1989,26,23,1984,22.0,8,0,8,8,0,1,6,0,0.36,0.00,0.36,0.36,0.36,Matches,5dbefa9d
32,Jordan Ayew,gh GHA,FWMF,Marseille,19,1991,34,17,1694,18.8,3,3,6,3,0,0,3,0,0.16,0.16,0.32,0.16,0.32,Matches,da052c14
33,Jonathan Ayité,tg TOG,FW,Brest,26,1985,6,3,263,2.9,0,1,1,0,0,0,0,0,0.00,0.34,0.34,0.00,0.34,Matches,5e887d66
